Package,LibPath,Version,Priority,Built
rhub,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.2,NA,3.5.0
rio,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.5.16,NA,3.5.1
RJSONIO,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.3-1.1,NA,3.5.1
rlang,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.3.1,NA,3.5.2
rlist,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.4.6.1,NA,3.5.0
rmarkdown,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.11,NA,3.5.1
rmatio,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.12.0,NA,3.5.1
roxygen2,C:/Users/LeporeM/Documents/R/R-3.5.2/library,6.1.1,NA,3.5.1
roxygen2Comment,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.1.1,NA,3.5.0
roxygen2md,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0-4,NA,3.5.0
rpart,C:/Users/LeporeM/Documents/R/R-3.5.2/library,4.1-13,recommended,3.5.2
rprojroot,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.3-2,NA,3.5.0
rsconnect,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.8.13,NA,3.5.2
RSQLite,C:/Users/LeporeM/Documents/R/R-3.5.2/library,2.1.1,NA,3.5.1
rstudioapi,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.9.0,NA,3.5.2
rtbl,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9000,NA,3.5.1
rversions,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.3,NA,3.5.1
rvest,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.3.2,NA,3.5.0
sankey,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.2,NA,3.5.0
scales,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.0,NA,3.5.1
scatterplot3d,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.3-41,NA,3.5.0
selectr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.4-1,NA,3.5.0
servr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.11,NA,3.5.1
sessioninfo,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.1.1,NA,3.5.1
shiny,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.2.0,NA,3.5.1
shinyAce,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.3.3,NA,3.5.2
shinydashboard,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.7.1,NA,3.5.1
shinyFiles,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.7.2,NA,3.5.1
shinyjs,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0,NA,3.5.0
shinyWidgets,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.4.4,NA,3.5.1
simplegraph,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.0,NA,3.5.0
sinharaja,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9000,NA,3.5.0
sloop,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.0.9000,NA,3.5.1
snakecase,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.9.2,NA,3.5.1
SnowballC,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.5.1,NA,3.5.0
sourcetools,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.1.7,NA,3.5.0
sp,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.3-1,NA,3.5.0
SparseM,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.77,NA,3.5.0
spatial,C:/Users/LeporeM/Documents/R/R-3.5.2/library,7.3-11,recommended,3.5.2
spelling,C:/Users/LeporeM/Documents/R/R-3.5.2/library,2.0,NA,3.5.1
splancs,C:/Users/LeporeM/Documents/R/R-3.5.2/library,2.01-40,NA,3.5.0
splines,C:/Users/LeporeM/Documents/R/R-3.5.2/library,3.5.2,base,3.5.2
stats,C:/Users/LeporeM/Documents/R/R-3.5.2/library,3.5.2,base,3.5.2
stats4,C:/Users/LeporeM/Documents/R/R-3.5.2/library,3.5.2,base,3.5.2
stopwords,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.9.0,NA,3.5.0
storr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.2.1,NA,3.5.1
stringdist,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.9.5.1,NA,3.5.0
stringi,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.2.4,NA,3.5.1
stringr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.3.1,NA,3.5.1
styler,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.1.0,NA,3.5.1
subplex,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.5-4,NA,3.5.0
survival,C:/Users/LeporeM/Documents/R/R-3.5.2/library,2.43-3,recommended,3.5.2
TaperCorrection,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9000,NA,3.5.1
TaperCorrectionPrivate,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9000,NA,3.5.1
tcltk,C:/Users/LeporeM/Documents/R/R-3.5.2/library,3.5.2,base,3.5.2
testthat,C:/Users/LeporeM/Documents/R/R-3.5.2/library,2.0.1,NA,3.5.1
tibble,C:/Users/LeporeM/Documents/R/R-3.5.2/library,2.0.1,NA,3.5.2
tidyr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.8.2,NA,3.5.1
tidyselect,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.2.5,NA,3.5.1
tidytext,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.2.0,NA,3.5.1
tidyverse,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.2.1,NA,3.5.1
tinytex,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.10,NA,3.5.2
tokenizers,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.2.1,NA,3.5.0
tools,C:/Users/LeporeM/Documents/R/R-3.5.2/library,3.5.2,base,3.5.2
tor,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.1,NA,3.5.2
translations,C:/Users/LeporeM/Documents/R/R-3.5.2/library,3.5.2,NA,3.5.2
travis,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.2.11.9000,NA,3.5.1
try,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.00.9002,NA,3.5.0
tsibble,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.6.2,NA,3.5.2
udapi,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.1.3,NA,3.5.1
udunits2,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.13,NA,3.5.0
units,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.6-2,NA,3.5.1
usethis,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.4.0.9000,NA,3.5.2
utf8,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.1.4,NA,3.5.0
utils,C:/Users/LeporeM/Documents/R/R-3.5.2/library,3.5.2,base,3.5.2
uuid,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.1-2,NA,3.5.0
vegan,C:/Users/LeporeM/Documents/R/R-3.5.2/library,2.5-3,NA,3.5.1
vet,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9000,NA,3.5.1
vipor,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.4.5,NA,3.5.0
viridis,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.5.1,NA,3.5.1
viridisLite,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.3.0,NA,3.5.1
visNetwork,C:/Users/LeporeM/Documents/R/R-3.5.2/library,2.0.5,NA,3.5.1
vroom,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9000,NA,3.5.2
whisker,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.3-2,NA,3.5.0
whoami,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.2.0,NA,3.5.1
withr,C:/Users/LeporeM/Documents/R/R-3.5.2/library,2.1.2,NA,3.5.1
writexl,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.1,NA,3.5.1
xfun,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.4,NA,3.5.1
XML,C:/Users/LeporeM/Documents/R/R-3.5.2/library,3.98-1.16,NA,3.5.1
xml2,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.2.0,NA,3.5.0
xmlparsedata,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.2,NA,3.5.1
xopen,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.0,NA,3.5.1
xtable,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.8-3,NA,3.5.1
yaml,C:/Users/LeporeM/Documents/R/R-3.5.2/library,2.2.0,NA,3.5.1
yesno,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.1.0,NA,3.5.0
yosemite,C:/Users/LeporeM/Documents/R/R-3.5.2/library,0.0.0.9000,NA,3.5.0
zip,C:/Users/LeporeM/Documents/R/R-3.5.2/library,1.0.0,NA,3.5.1
